"","id","strength","strength_pct","aces","faces","deuces","result","plays","infinite"
"1",1,192,0.461538461538462,0,0,2,"W",228,FALSE
"2",2,189,0.454326923076923,1,0,2,"W",336,FALSE
"3",3,203,0.487980769230769,3,0,3,"L",738,FALSE
"4",4,210,0.504807692307692,3,0,3,"L",428,FALSE
"5",5,205,0.492788461538462,2,0,2,"L",348,FALSE
"6",6,228,0.548076923076923,2,0,2,"W",1046,FALSE
"7",7,193,0.463942307692308,3,0,3,"L",264,FALSE
"8",8,183,0.439903846153846,1,0,2,"L",58,FALSE
"9",9,215,0.516826923076923,3,0,1,"W",1946,FALSE
"10",10,206,0.495192307692308,2,0,2,"W",830,FALSE
"11",11,210,0.504807692307692,1,1,2,"L",610,FALSE
"12",12,209,0.502403846153846,2,0,2,"W",550,FALSE
"13",13,220,0.528846153846154,4,0,2,"W",776,FALSE
"14",14,214,0.514423076923077,2,1,2,"L",330,FALSE
"15",15,230,0.552884615384615,3,0,2,"W",64,FALSE
"16",16,216,0.519230769230769,4,0,2,"W",438,FALSE
"17",17,204,0.490384615384615,3,0,3,"L",364,FALSE
"18",18,218,0.524038461538462,2,0,2,"L",636,FALSE
"19",19,193,0.463942307692308,3,0,2,"L",512,FALSE
"20",20,193,0.463942307692308,1,0,2,"L",152,FALSE
"21",21,231,0.555288461538462,2,0,1,"W",210,FALSE
"22",22,230,0.552884615384615,4,1,1,"W",550,FALSE
"23",23,210,0.504807692307692,3,1,2,"L",2252,FALSE
"24",24,188,0.451923076923077,2,1,4,"W",710,FALSE
"25",25,213,0.512019230769231,2,0,2,"W",142,FALSE
"26",26,199,0.478365384615385,3,1,3,"L",1464,FALSE
"27",27,217,0.521634615384615,2,0,3,"L",134,FALSE
"28",28,195,0.46875,3,0,1,"L",436,FALSE
"29",29,205,0.492788461538462,4,0,1,"W",374,FALSE
"30",30,214,0.514423076923077,3,0,3,"W",528,FALSE
"31",31,221,0.53125,2,0,1,"W",316,FALSE
"32",32,221,0.53125,1,1,1,"W",102,FALSE
"33",33,225,0.540865384615385,1,0,1,"L",508,FALSE
"34",34,193,0.463942307692308,1,0,2,"W",458,FALSE
"35",35,212,0.509615384615385,2,1,1,"L",10000,TRUE
"36",36,196,0.471153846153846,2,0,3,"W",236,FALSE
"37",37,196,0.471153846153846,3,0,2,"L",338,FALSE
"38",38,208,0.5,3,0,1,"L",348,FALSE
"39",39,218,0.524038461538462,2,1,3,"L",430,FALSE
"40",40,230,0.552884615384615,2,1,1,"L",498,FALSE
"41",41,204,0.490384615384615,4,0,3,"W",178,FALSE
"42",42,209,0.502403846153846,2,0,3,"L",1274,FALSE
"43",43,203,0.487980769230769,2,0,2,"W",722,FALSE
"44",44,206,0.495192307692308,2,0,2,"L",390,FALSE
"45",45,213,0.512019230769231,2,1,2,"L",442,FALSE
"46",46,227,0.545673076923077,3,0,1,"W",518,FALSE
"47",47,215,0.516826923076923,1,0,2,"W",682,FALSE
"48",48,227,0.545673076923077,3,1,0,"W",106,FALSE
"49",49,205,0.492788461538462,2,0,2,"L",226,FALSE
"50",50,233,0.560096153846154,2,1,2,"L",462,FALSE
"51",51,191,0.459134615384615,0,0,2,"W",900,FALSE
"52",52,207,0.497596153846154,2,0,2,"L",226,FALSE
"53",53,212,0.509615384615385,3,0,1,"L",186,FALSE
"54",54,202,0.485576923076923,2,0,2,"W",580,FALSE
"55",55,199,0.478365384615385,3,1,4,"L",702,FALSE
"56",56,200,0.480769230769231,1,1,2,"L",254,FALSE
"57",57,210,0.504807692307692,3,1,2,"L",284,FALSE
"58",58,205,0.492788461538462,2,0,2,"L",276,FALSE
"59",59,203,0.487980769230769,2,0,3,"W",716,FALSE
"60",60,200,0.480769230769231,2,0,2,"L",334,FALSE
"61",61,224,0.538461538461538,2,1,1,"W",276,FALSE
"62",62,202,0.485576923076923,2,0,3,"L",52,FALSE
"63",63,198,0.475961538461538,2,0,1,"L",266,FALSE
"64",64,223,0.536057692307692,3,0,1,"W",476,FALSE
"65",65,190,0.456730769230769,1,0,3,"L",60,FALSE
"66",66,214,0.514423076923077,3,1,1,"L",80,FALSE
"67",67,194,0.466346153846154,2,0,2,"W",1002,FALSE
"68",68,195,0.46875,2,1,1,"W",702,FALSE
"69",69,217,0.521634615384615,2,1,2,"L",10000,TRUE
"70",70,186,0.447115384615385,1,0,2,"L",428,FALSE
"71",71,206,0.495192307692308,1,0,2,"L",10000,TRUE
"72",72,209,0.502403846153846,2,0,2,"L",602,FALSE
"73",73,207,0.497596153846154,2,0,1,"L",604,FALSE
"74",74,197,0.473557692307692,2,0,3,"W",1256,FALSE
"75",75,191,0.459134615384615,1,1,3,"W",316,FALSE
"76",76,210,0.504807692307692,3,0,1,"W",708,FALSE
"77",77,211,0.507211538461538,2,0,1,"L",10000,TRUE
"78",78,191,0.459134615384615,3,0,2,"L",364,FALSE
"79",79,209,0.502403846153846,3,1,1,"L",192,FALSE
